,player_name,matches_played,innings,runs,highest_score,avg,ball_faced,SR,Century,half_century,4s,6s
0,JOE Root (ENG),22,40,1968,262,54.66,3006,65.46,7,7,186,9
1,Yashashvi Jaiswal (IND),19,36,1798,214*,52.88,2738,65.66,4,10,207,39
2,Ben Duckett (ENG),22,41,1470,153,36.75,1743,84.33,2,8,187,7
3,Harry Brook (ENG),17,29,1463,317,50.44,1755,83.36,4,7,144,17
4,Usman Khawaja (AUS),20,39,1428,232,39.66,3211,44.47,2,6,149,5
5,Steven Smith (AUS),20,37,1403,141,41.26,2686,52.23,5,5,144,11
6,Travis Head (AUS),20,36,1197,152,34.2,1483,80.71,3,5,153,13
7,Zak Crawley (ENG),19,34,1175,189,34.55,1509,77.86,1,8,152,10
8,Kane Williamson (NZ),11,22,1152,156,54.85,2128,54.13,5,4,134,6
9,Kamindu Mendis (SL),11,20,1123,182*,62.38,1702,65.98,5,3,116,23
